time,seconds_elapsed,bpm
1772661463573682944,6.848521947860718,82.0
1772661468573682944,11.848521947860718,82.0
1772661473573682944,16.848521947860718,82.0
1772661478573682944,21.848521947860718,85.0
1772661479573682944,22.848521947860718,86.0
1772661486573682944,29.848521947860718,95.0
1772661493573682944,36.84852194786072,91.0
1772661496573682944,39.84852194786072,90.0
1772661499573682944,42.84852194786072,89.0
1772661508573682944,51.84852194786072,94.0
1772661509573682944,52.84852194786072,92.0
1772661514573682944,57.84852194786072,93.0
1772661521573682944,64.84852194786072,97.0
1772661524573682944,67.84852194786072,98.0
1772661533573682944,76.84852194786072,95.0
1772661536573682944,79.84852194786072,93.0
1772661539573682944,82.84852194786072,91.0
