time,seconds_elapsed,x,y,z
1772660832230361856,0.016427040100097656,-0.114044189453125,-0.14544677734375,-1.00537109375
1772660832240399616,0.02646470069885254,-0.0735626220703125,-0.1178436279296875,-0.996490478515625
1772660832250436608,0.03650164604187012,-0.0619659423828125,-0.126800537109375,-1.007568359375
1772660832260473856,0.0465388298034668,-0.0727081298828125,-0.14697265625,-1.0044708251953125
1772660832270511616,0.05657672882080078,-0.0854644775390625,-0.1485748291015625,-1.00201416015625
1772660832280548608,0.06661367416381836,-0.0892181396484375,-0.1394500732421875,-0.9986114501953125
1772660832290585600,0.07665061950683594,-0.0832366943359375,-0.1309967041015625,-0.9933319091796875
1772660832300623616,0.08668875694274902,-0.0771484375,-0.133544921875,-0.988677978515625
1772660832310660608,0.0967257022857666,-0.0762481689453125,-0.13970947265625,-0.986907958984375
1772660832320697600,0.10676264762878418,-0.080078125,-0.1401824951171875,-0.986602783203125
1772660832330735616,0.11680078506469727,-0.0840606689453125,-0.1366424560546875,-0.98663330078125
1772660832340772608,0.12683773040771484,-0.0850830078125,-0.134307861328125,-0.986328125
1772660832350809600,0.13687467575073242,-0.0814208984375,-0.1360015869140625,-0.9785919189453125
1772660832360847616,0.1469128131866455,-0.077545166015625,-0.141632080078125,-0.9714813232421875
1772660832370884608,0.15694975852966309,-0.076751708984375,-0.1501007080078125,-0.96527099609375
1772660832380922624,0.16698765754699707,-0.07952880859375,-0.1558380126953125,-0.9564361572265625
1772660832390959616,0.17702460289001465,-0.0805206298828125,-0.1600341796875,-0.9522857666015625
1772660832400996608,0.18706178665161133,-0.0794219970703125,-0.1600189208984375,-0.9461212158203125
1772660832411034624,0.1970996856689453,-0.078948974609375,-0.1614532470703125,-0.941314697265625
1772660832421071616,0.2071366310119629,-0.0809173583984375,-0.1668548583984375,-0.9373321533203125
1772660832431108608,0.21717381477355957,-0.0814056396484375,-0.1710662841796875,-0.9351348876953125
1772660832441146624,0.22721171379089355,-0.081695556640625,-0.175140380859375,-0.931121826171875
1772660832451183616,0.23724865913391113,-0.08685302734375,-0.18389892578125,-0.925323486328125
1772660832461220608,0.2472856044769287,-0.0970916748046875,-0.1968536376953125,-0.9224395751953125
1772660832471258624,0.2573237419128418,-0.10443115234375,-0.1971282958984375,-0.922119140625
1772660832481295616,0.2673606872558594,-0.1114654541015625,-0.18267822265625,-0.9210052490234375
1772660832491333632,0.27739882469177246,-0.1173858642578125,-0.17041015625,-0.9206390380859375
1772660832501370624,0.28743577003479004,-0.123779296875,-0.16790771484375,-0.91583251953125
1772660832511407616,0.2974727153778076,-0.131561279296875,-0.1692352294921875,-0.9061279296875
1772660832521445632,0.3075106143951416,-0.1380157470703125,-0.1643829345703125,-0.893798828125
1772660832531482624,0.3175477981567383,-0.146942138671875,-0.1577606201171875,-0.8801116943359375
1772660832541519616,0.32758474349975586,-0.1582489013671875,-0.1539306640625,-0.867095947265625
1772660832551557632,0.33762264251708984,-0.177703857421875,-0.1474609375,-0.8534088134765625
1772660832561594624,0.3476598262786865,-0.2021026611328125,-0.1384735107421875,-0.83856201171875
1772660832571631616,0.3576967716217041,-0.2232513427734375,-0.122222900390625,-0.8271026611328125
1772660832581669632,0.3677346706390381,-0.2430419921875,-0.094024658203125,-0.812347412109375
1772660832591706624,0.37777161598205566,-0.2577056884765625,-0.0646514892578125,-0.798065185546875
1772660832601743616,0.38780879974365234,-0.26849365234375,-0.043304443359375,-0.78155517578125
1772660832611781632,0.39784669876098633,-0.2792816162109375,-0.0273284912109375,-0.7646026611328125
1772660832621818624,0.4078836441040039,-0.296722412109375,-0.008453369140625,-0.74566650390625
1772660832631856640,0.417921781539917,-0.3083343505859375,-0.0040130615234375,-0.7369537353515625
1772660832641893632,0.42795872688293457,-0.314849853515625,0.0006866455078125,-0.7205963134765625
1772660832651930624,0.43799567222595215,-0.32073974609375,0.0054168701171875,-0.6971588134765625
1772660832661968640,0.44803380966186523,-0.3249969482421875,0.0018310546875,-0.6666412353515625
1772660832672005632,0.4580707550048828,-0.330718994140625,-0.0005340576171875,-0.6247406005859375
1772660832682042624,0.4681077003479004,-0.3326416015625,0.0022125244140625,-0.5773773193359375
1772660832692080640,0.4781458377838135,-0.331573486328125,0.0091400146484375,-0.5335540771484375
1772660832702117632,0.48818278312683105,-0.33587646484375,0.0165863037109375,-0.4953155517578125
1772660832712154624,0.49821972846984863,-0.3474273681640625,0.01519775390625,-0.4642486572265625
1772660832722192640,0.5082576274871826,-0.36517333984375,0.0012969970703125,-0.4333953857421875
1772660832732229632,0.5182948112487793,-0.3866729736328125,-0.014251708984375,-0.3974761962890625
1772660832742266624,0.5283317565917969,-0.4102783203125,-0.03118896484375,-0.3535308837890625
1772660832752304640,0.5383696556091309,-0.437896728515625,-0.0527191162109375,-0.3066864013671875
1772660832762341376,0.5484066009521484,-0.464691162109375,-0.0828704833984375,-0.25970458984375
1772660832772379648,0.5584447383880615,-0.49957275390625,-0.1181182861328125,-0.2303619384765625
1772660832782416640,0.5684816837310791,-0.5384368896484375,-0.158935546875,-0.2147674560546875
1772660832792453632,0.5785186290740967,-0.5850982666015625,-0.2096405029296875,-0.1995849609375
1772660832802491648,0.5885567665100098,-0.6559600830078125,-0.2917633056640625,-0.19561767578125
1772660832812528640,0.5985937118530273,-0.745574951171875,-0.43194580078125,-0.20941162109375
1772660832822565632,0.6086306571960449,-0.8458251953125,-0.607208251953125,-0.234893798828125
1772660832832603648,0.618668794631958,-0.94207763671875,-0.75323486328125,-0.2623138427734375
1772660832842640640,0.6287057399749756,-1.0244293212890625,-0.818603515625,-0.282745361328125
1772660832852678656,0.6387436389923096,-1.098785400390625,-0.7905426025390625,-0.2976531982421875
1772660832862715648,0.6487808227539062,-1.1771087646484375,-0.727691650390625,-0.312255859375
1772660832872752640,0.6588177680969238,-1.2356719970703125,-0.673614501953125,-0.322662353515625
