x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,parent,child,participant,set,ID
-0.059499315678775096,0.023343890437706964,0.00030842620434429376,4.388294768238633,76.89809919315768,-61.59033791580901,1,1,1,1,1
-0.08781090018124522,0.043329032222169044,0.012970075599225238,6.883763152989307,67.85623955991184,-52.75504195324496,1,1,1,1,1
-0.1592190250366448,-0.0013059666206359632,-0.03940011824635616,16.47765957408991,68.64237677732078,-52.29760564692864,1,1,1,1,1
-0.04442732494092323,0.0017432868511884827,0.017163083169417285,10.452415738282571,71.89242200713541,-58.81800703992455,1,1,1,1,1
-0.040097995338745876,0.032378551803550155,-0.015830872415165936,25.46590276530765,67.60797296723092,-57.360841999003405,1,1,1,1,1
-0.05667705542160818,-0.03085398957023075,0.04069745244563584,31.915399698730344,63.25611937878757,-62.926628021739866,1,1,1,1,1
-0.0705240147944036,0.014774060214724953,-0.019692387698615664,4.793672067650961,66.18176647209722,-63.81709008260081,1,1,1,1,1
-0.05168038676680807,0.036720193680312256,0.02083702758597723,29.398996133721713,69.12805667695696,-60.28860892010815,1,1,1,1,1
-0.06174381536770889,-0.006816835159337354,0.056326116628284885,-16.577442022312557,66.26212329157003,-62.0687669247816,1,1,1,1,1
-0.027272800340359026,0.06824942074042929,-0.03126484621432457,4.367373693504329,71.06362238394834,-60.342164361839295,1,1,1,1,1
-0.07811697820296983,0.023460989139286223,0.09026258491477392,-34.606900776169404,69.56802389403308,-56.736614626425904,1,1,1,1,1
-0.03598998961714726,0.06857287358456761,-0.049452376877702965,-29.282282969367888,72.79963706518875,-51.962844933062726,1,1,1,1,1
-0.05853371828285666,0.041451422805529534,0.03385470250105464,5.003929645647074,72.26456403643392,-51.38450050892611,1,1,1,1,1
-0.08994848747178846,0.04402072441674581,-0.005041987846418661,-10.276010912143558,66.71898174500716,-46.46880183683781,1,1,1,1,1
-0.009719185502190336,0.025950445318596714,0.031881458728600515,17.291351616758437,67.88037566343937,-48.23578330627334,1,1,1,1,1
-0.06259322769873082,0.009150974385289511,0.04846962075084046,-35.49401123090447,65.57995975101224,-44.23935013490454,1,1,1,1,1
-0.014581782781606302,0.05641634311596432,-0.03486173863041156,4.465042259894051,70.43193717366,-41.18753209248677,1,1,1,1,1
-0.05577195549786958,-0.02040322096825594,-0.00918048779038387,8.688722319524016,74.59176038377514,-47.68565722064454,1,1,1,1,1
-0.07693210301467829,0.006974091660327391,-0.0249173634420298,7.414175923581739,78.63703057777961,-49.87180789819201,1,1,1,1,1
-0.07769061236749873,-0.0026914710453633684,0.0177975206811806,-3.200732181062348,77.5608810636149,-51.34564292231016,1,1,1,1,1
-0.07463456388628928,0.0392758312598745,0.03327581571272575,-3.5134985489389225,70.38173681591931,-49.130394841312224,1,1,1,1,1
-0.03580133968741622,0.0556462628345176,0.060400193007303586,-3.9162251262941434,59.82816021411922,-41.267630505949676,1,1,1,1,1
-0.009548654231617257,0.08961692061481853,0.10130528964525938,-11.649207777582323,51.00781306791456,-33.520691716574675,1,1,1,1,1
0.004503944571771709,0.10381183608951446,0.10967446756271208,-8.665291164568993,39.536601210624134,-25.405596213895205,1,1,1,1,1
0.026904189308915263,0.1009775296583779,0.13864501680911026,-13.81218286913043,27.00411916115028,-14.493585091952617,1,1,1,1,1
0.02413135080523511,0.08918975703433545,0.13763513632505028,-20.073296193823644,15.481712164305454,-5.7295202436242985,1,1,1,1,1
0.029534796328167565,0.10017463237116246,0.1150095845231392,-8.600155588456776,1.699187563732497,2.963032508517709,1,1,1,1,1
0.03397871039481355,0.09019095440755193,0.1338797139542604,-5.791134498993314,-13.346176410722787,11.546283235113073,1,1,1,1,1
0.015056622503391737,0.09585647382984915,0.1158585403657607,-4.803638659534537,-31.746914486639497,22.714384343019006,1,1,1,1,1
0.0037922591526859256,0.08946665709137183,0.1129242051011671,4.83051535272435,-44.81010673815865,27.791631510220014,1,1,1,1,1
