x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,parent,child,participant,set,ID,dataset
-0.6076203388969715,0.2601216172195787,-0.244655660147106,-3.5807081535697707,61.45958852234448,-11.30310081613478,5,5,18,1,38,ourdata
0.9386193607802882,-0.2860552480096213,-0.0317998809339536,-18.83624961516601,-37.51557134415489,16.490179325094505,5,5,18,1,38,ourdata
-0.3831786932798924,0.0590544459478264,-0.0932803668453859,-33.89918047906227,-2.4533263341010736,0.9549607410706324,5,5,18,1,38,ourdata
0.154183678012336,0.1099624818893187,0.2440192144941063,-1.5783696166857215,8.389932595355239,3.8279147869125136,5,5,18,1,38,ourdata
-0.0755116120126745,-0.0995184038917553,-0.0496605999797743,-3.277633756261636,17.204919609070473,8.430351812521552,5,5,18,1,38,ourdata
-0.1553774023457529,-0.0341340777028861,0.267360087706119,5.442467727306138,49.71544531089076,10.957464943173523,5,5,18,1,38,ourdata
-0.1830703399682633,0.0133892729131458,0.2690046552369849,5.567776917185601,69.88869292482089,24.29889575312609,5,5,18,1,38,ourdata
-0.227871727019964,-0.0335353646368069,0.1766770397324301,-3.8020160408330232,83.93746325675134,36.66324979336724,5,5,18,1,38,ourdata
-0.1179400460592213,0.0091454074648267,0.1097882430782708,-0.1283722974898407,99.48158350450048,36.91895945826781,5,5,18,1,38,ourdata
0.1056824216034175,0.0357612884750193,0.0306976853536686,-4.2023799066964,94.50443091674327,36.45853125873519,5,5,18,1,38,ourdata
0.3269458925697427,0.0118243716411427,-0.0379532280292564,14.806278634930694,79.2731753840386,27.022207885162885,5,5,18,1,38,ourdata
0.4021914141323699,-0.0998097908879695,-0.0598055319577046,0.1115084693693859,42.822063706832246,17.390532695081596,5,5,18,1,38,ourdata
0.3530574707343152,0.0035923105063987,0.0406874079173182,5.143422106838663,18.264465082749748,2.0898716203514907,5,5,18,1,38,ourdata
0.2135915581705179,-0.0105209453684669,0.029918468825275,-2.2239258672518187,-4.503481209339937,-12.915554077252017,5,5,18,1,38,ourdata
0.0649062986218347,0.0869556978582729,-0.0914524873697338,0.9836788522773418,-21.923921253984734,-17.57239406355282,5,5,18,1,38,ourdata
-0.1102598985716171,0.0564326990110136,0.0645188033297716,-5.979993619319246,-22.18582454876332,-20.58498041131945,5,5,18,1,38,ourdata
-0.0086596829062365,0.054108355273902,-0.2361965069209619,-17.357590357130064,-31.707974221382223,-21.716875995830183,5,5,18,1,38,ourdata
-0.0062914416799039,-0.0209608682926396,-0.0663264302961132,-10.766937369283358,-16.58138470382829,-28.30147580726555,5,5,18,1,38,ourdata
0.1816729812817891,-0.0580950073103082,-0.2229667636165981,11.719362539589682,-14.660781681464124,-37.39428017435143,5,5,18,1,38,ourdata
0.1911438038929628,-0.0645433901307857,0.0480244230516767,8.781890646739654,-23.568428248097444,-33.647469628633864,5,5,18,1,38,ourdata
0.2097849054536366,-0.0089175571455769,-0.1612645304040987,-2.5637139542570617,-31.463676583873088,-26.841166051145365,5,5,18,1,38,ourdata
0.1690762681414213,-0.0543664561816256,0.0039869576905978,0.1770415161443432,-32.87771940565032,-23.58227944129195,5,5,18,1,38,ourdata
0.0799480623984521,0.0285557587791207,-0.0075400979108632,5.42026138745049,-22.535469443151623,-21.982685985071843,5,5,18,1,38,ourdata
-0.0045497740233156,-0.0147959910328875,-0.0142629503957929,-14.52272213787065,-21.740737850572778,-20.76793599790308,5,5,18,1,38,ourdata
-0.0770898285139016,0.0751249698666751,0.0316168323201989,-11.700758048267062,-17.04051770496275,-19.957853819165,5,5,18,1,38,ourdata
-0.07945080852681,0.0348464054425248,0.0693810219995424,-17.451260834622726,-3.864268828691411,-17.709581281243477,5,5,18,1,38,ourdata
-0.0618896630130484,0.0687449761830996,0.0429012048715118,-9.455277923511444,6.3115264386244565,-16.938381879849548,5,5,18,1,38,ourdata
0.0201099489362633,0.0687095658420376,0.0755728352527177,-17.07861786835893,6.496056375381877,-0.8982779429056498,5,5,18,1,38,ourdata
0.0093476752610367,0.0455388753070144,-0.0151703996389692,-9.46011742602591,14.569818362542591,6.986575634442974,5,5,18,1,38,ourdata
0.0242392285180279,-0.0036026113947749,-0.0635140150686718,-2.134164726203741,21.400872466966973,7.97264384516204,5,5,18,1,38,ourdata
0.0007554871446457,0.0004319778582975,-0.0749557342965813,-7.4873561617476865,15.457778672561092,16.37045919922537,5,5,18,1,38,ourdata
-0.0112343247147605,-0.0144215688542409,-0.0231146777028938,9.962418977104084,9.995403650704588,19.57449612255424,5,5,18,1,38,ourdata
