x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,parent,child,participant,set,ID
-0.021238513440359482,-0.004765209851244905,0.43007004139708593,29.72612843103711,-1.7906146968420276,17.630320077430373,5,10,15,2,40
0.16477397807990596,0.03410046324067141,0.29648454893285203,20.008927629251897,-4.918915245414034,21.764799412088752,5,10,15,2,40
1.7329595867909289,0.6966000867917876,0.23425530678191778,-16.20278059323176,-4.88141564704646,-0.7250232200115103,5,10,15,2,40
3.160570575211188,4.10278876245132,-1.3654068569420432,-39.72253051000192,-33.829758895247316,-56.47458953211529,5,10,15,2,40
2.1175130682767542,4.268013635868376,-0.5690647785360005,0.1072451745790544,-50.27227417879088,-93.96182514455997,5,10,15,2,40
2.1485738508333108,-0.5476907526531081,-0.023977630898464636,17.29941933636993,-37.82760512637448,-99.04977801480992,5,10,15,2,40
1.6941797121506126,-1.2963863042199095,0.11973484971790456,28.56022919081411,-32.80220865439329,-96.11781916249123,5,10,15,2,40
1.5922854041586276,-0.9330083494549314,0.8638090236996189,14.233325120638842,-47.50851628191627,-84.18907491548376,5,10,15,2,40
0.6500614309053894,0.0167981602165847,0.16929966383170983,28.825065985457798,-43.853311728002495,-70.73248042562565,5,10,15,2,40
-0.4906517268134485,-0.4171906441389157,-0.22268328821814223,39.422306247081536,-29.890543831274098,-72.07111457082422,5,10,15,2,40
-0.791394946098675,-0.3291955581121909,-0.22581601853994834,48.81576239976657,-27.94416860113169,-80.05022144662313,5,10,15,2,40
-0.40647950627558965,0.1661369505155175,-0.052169853949189375,57.12297959459888,-36.945901263159286,-83.26428403239238,5,10,15,2,40
-0.21264207535888552,0.8237533041172761,0.13998524667459117,63.21731895575117,-35.55865045302345,-80.73432949843799,5,10,15,2,40
0.2988586275615349,0.8192839545912026,-0.052447460908754295,72.34094731784953,-26.075777611829373,-82.21087935786355,5,10,15,2,40
0.33465323659576984,0.35449272262525666,-0.5157368738440727,82.8561435612359,-21.741723004738155,-80.75269628551185,5,10,15,2,40
-0.9131021125847515,-0.07215048022295137,-0.9464055677577315,104.67925832536449,3.525431008292153,-58.3609314367915,5,10,15,2,40
-0.17226952616159252,-0.741944966196466,0.016525396544189924,92.09073063239371,9.668756385192728,-52.01755902938437,5,10,15,2,40
-0.04277462578622748,0.22211443580050677,1.1635225151019826,87.74135685937759,-5.013819307629872,-45.937517871373046,5,10,15,2,40
-0.02692652834406727,0.32391815290851156,1.3866599460381768,99.2922353638637,-7.965362544870634,-35.03161649354423,5,10,15,2,40
0.2735483107956558,0.07509361898315772,1.1188355742475191,108.19765014547019,-5.7928482394575,-28.672829714358034,5,10,15,2,40
0.44282399601356154,-0.0491008729406034,0.7504995081427328,114.51992009900505,-2.4555915690671375,-22.41185344361645,5,10,15,2,40
