time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1772660019374012160,0.09487032890319824,-0.0399579294025898,0.025822728872299194,0.055510684847831726,0.1084672287106514,0.09402206540107727,-0.9896437525749207,-0.013237126171588898,0.02076980471611023,-0.022242844104766846,-0.09996131212642693,-0.04937706196174839,-0.05234539384183056,0.9923858707480191,-0.09416114886134648,0.10916656111971396,-2.9356648304649857
1772660019384050176,0.10490822792053223,-0.04591848701238632,0.022142373025417328,0.05666450038552284,0.10875087231397629,0.09438170492649078,-0.989578366279602,-0.008134417235851288,0.017816171050071716,-0.01191699504852295,-0.10025103444808334,-0.04948585683563359,-0.052554425039138306,0.9923400833126471,-0.09452239696969339,0.10945693428136036,-2.9350439970058657
1772660019394087168,0.1149451732635498,-0.04467851668596268,0.018404893577098846,0.058902088552713394,0.10900960117578506,0.09476815909147263,-0.9895129799842834,-0.005478717386722565,0.018436796963214874,-0.0009197592735290527,-0.10055391137280228,-0.049580053486456103,-0.05277629694323581,0.9922929519559472,-0.09491058693735503,0.1097224573862292,-2.9343962593140565
1772660019404125184,0.12498331069946289,-0.046785034239292145,0.017530176788568497,0.06524427235126495,0.10924017429351807,0.0951559841632843,-0.9894503355026245,0.0003026723861694336,0.0212685689330101,0.004175066947937012,-0.10086942718548467,-0.0496592964949129,-0.05299808754863584,0.9922452033901307,-0.09530017590306544,0.10995957641685165,-2.9337243680900227
1772660019414162176,0.13502025604248047,-0.04890197888016701,0.007335064932703972,0.06064845621585846,0.10941967368125916,0.09553789347410202,-0.9893936514854431,0.004334591329097748,0.019116640090942383,0.00944375991821289,-0.10119291415889452,-0.04971274376118923,-0.05321470188529399,0.9921980554847946,-0.09568382970218656,0.11014506189506175,-2.933039392031344
1772660019424200192,0.14505839347839355,-0.04904711991548538,-0.007361588999629021,0.05459855496883392,0.10945791751146317,0.09595786035060883,-0.989348828792572,0.004143767058849335,0.013005152344703674,0.013823926448822021,-0.10149146820238598,-0.04969487547780415,-0.05344172299417993,0.992156190772721,-0.09610573634190576,0.11018819957425785,-2.9324098386758757
1772660019434237184,0.15509533882141113,-0.04397273436188698,-0.01910346746444702,0.04601651802659035,0.10936885327100754,0.09635113924741745,-0.9893204569816589,0.001348927617073059,0.003944873809814453,0.020784080028533936,-0.10175185945379243,-0.049616625733642894,-0.053646759935629694,0.99212243965615,-0.09650084707917682,0.11010239656401571,-2.9318658285535095
1772660019444275200,0.16513323783874512,-0.05231539532542229,-0.02994612790644169,0.03759227320551872,0.10916446894407272,0.09677857160568237,-0.9893012642860413,0.0006377696990966797,-0.00360841304063797,0.022229790687561035,-0.1019796454167451,-0.049480680752785354,-0.05386112480858743,0.9920941733945302,-0.09693028477246711,0.10990040625955555,-2.9313917171195376
1772660019454312192,0.1751701831817627,-0.057174600660800934,-0.04455702751874924,0.031057141721248627,0.10881410539150238,0.097272589802742,-0.9892914295196533,0.0023003965616226196,-0.008100226521492004,0.02479863166809082,-0.1021755904609178,-0.049270046922506985,-0.05409941203465448,0.9920715895885905,-0.09742664212669402,0.10955158552259801,-2.930985918639346
1772660019464349184,0.18520736694335938,-0.06261584162712097,-0.06318623572587967,0.01595395617187023,0.10828308761119843,0.09785007685422897,-0.9892927408218384,0.006081528961658478,-0.01221776008605957,0.034977614879608154,-0.10232483958782305,-0.04896737479581707,-0.05436748881680325,0.9920564630873109,-0.09800690293054141,0.10902106359040789,-2.9306792566431352
