time,seconds_elapsed,x,y,z
1772660384562772480,0.08200764656066895,20.41937255859375,-11.13435173034668,-34.71307373046875
1772660384572810496,0.09204554557800293,20.460540771484375,-11.312576293945312,-34.812347412109375
1772660384582847232,0.10208249092102051,20.3927001953125,-11.103565216064453,-34.62281799316406
1772660384592884224,0.11211943626403809,20.37884521484375,-11.263981819152832,-34.936920166015625
1772660384602922496,0.12215757369995117,20.399505615234375,-11.267000198364258,-34.87556457519531
1772660384612959488,0.13219451904296875,20.702972412109375,-11.082855224609375,-35.02191162109375
1772660384622996224,0.14223146438598633,20.542633056640625,-11.324347496032715,-35.10493469238281
1772660384633034496,0.15226960182189941,20.491912841796875,-11.270620346069336,-34.92369079589844
1772660384643071488,0.162306547164917,20.2481689453125,-11.311357498168945,-34.95130920410156
1772660384653108480,0.17234349250793457,20.35113525390625,-11.32608413696289,-34.95600891113281
1772660384663143680,0.18237876892089844,20.215576171875,-11.174689292907715,-34.67826843261719
1772660384673181440,0.19241666793823242,20.21728515625,-11.317249298095703,-34.606597900390625
1772660384683218432,0.20245361328125,20.309417724609375,-11.215719223022461,-34.685577392578125
1772660384693255680,0.21249079704284668,20.1737060546875,-11.257688522338867,-34.70201110839844
1772660384703293440,0.22252869606018066,20.35400390625,-11.188528060913086,-34.94215393066406
1772660384713330432,0.23256564140319824,20.474334716796875,-11.105509757995605,-34.8265380859375
1772660384723367424,0.24260258674621582,20.27435302734375,-11.126222610473633,-34.8701171875
1772660384733405696,0.2526407241821289,20.341400146484375,-11.251462936401367,-34.977294921875
1772660384743442432,0.2626776695251465,20.238189697265625,-11.299867630004883,-35.068023681640625
1772660384753479424,0.27271461486816406,20.282470703125,-11.49848461151123,-35.18495178222656
1772660384763517696,0.28275275230407715,20.39013671875,-11.42835521697998,-35.0474853515625
1772660384773554688,0.2927896976470947,20.345916748046875,-11.45654582977295,-35.22200012207031
1772660384783591424,0.3028266429901123,20.157073974609375,-11.18117904663086,-34.905487060546875
1772660384793628416,0.3128635883331299,20.154266357421875,-11.378915786743164,-34.78411865234375
1772660384803666688,0.32290172576904297,20.305816650390625,-11.454154968261719,-34.87872314453125
1772660384813703424,0.33293867111206055,20.458740234375,-11.270227432250977,-34.74235534667969
1772660384823740416,0.3429756164550781,20.425811767578125,-11.351175308227539,-34.62528991699219
1772660384833778688,0.3530137538909912,20.447174072265625,-11.345974922180176,-34.656036376953125
1772660384843815680,0.3630506992340088,20.279876708984375,-11.327444076538086,-34.48004150390625
1772660384853852416,0.37308764457702637,20.459197998046875,-11.32248592376709,-34.85009765625
1772660384863890688,0.38312578201293945,20.659759521484375,-11.420716285705566,-34.752288818359375
1772660384873927680,0.39316272735595703,20.6552734375,-11.318817138671875,-34.61231994628906
1772660384883964416,0.4031996726989746,20.75616455078125,-11.165143966674805,-34.69557189941406
1772660384894002688,0.4132378101348877,20.742645263671875,-11.380683898925781,-34.57093811035156
1772660384904039680,0.4232747554779053,20.718048095703125,-11.58135986328125,-34.7825927734375
