time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1772660384562772480,0.08200764656066895,0.006018926855176687,0.009932844899594784,0.010589683428406715,-0.00836891122162342,0.11605849117040634,-0.9932070970535278,0.0013346141204237938,0.012176364660263062,0.0022861361503601074,0.9707675689786691,-0.05554725964607969,-0.017633497739436288,0.23283907048555913,-0.11632062593516924,-0.008425949235788112,0.4703166582886042
1772660384572810496,0.09204554557800293,-0.005152501165866852,-0.002780020469799638,0.014268042519688606,-0.00832397025078535,0.11606238782405853,-0.9932070374488831,0.01160460989922285,0.0006673485040664673,0.012616217136383057,0.9707529929824543,-0.05555332141246849,-0.01761551476135435,0.23289928114814462,-0.11632454909353886,-0.008380704986224412,0.4704432870993163
1772660384582847232,0.10208249092102051,-0.0030964959878474474,-0.005259556695818901,0.014297204092144966,-0.008363566361367702,0.11613143235445023,-0.9931986331939697,0.015321573242545128,-0.007748253643512726,0.017490625381469727,0.9707325170346162,-0.05558103996211694,-0.01764730565003828,0.23297567388184828,-0.1163940631383191,-0.00842064050208403,0.47059907798022627
1772660384592884224,0.11211943626403809,0.006446675397455692,-0.007476371712982655,0.011452148668467999,-0.008416740223765373,0.11613330990076065,-0.9931979775428772,0.012002555653452873,-0.006956674158573151,0.018039286136627197,0.9707158155698326,-0.05557448658182342,-0.017677379860486585,0.23304474787312013,-0.11639595162016815,-0.008474180113873285,0.470738366714391
1772660384602922496,0.12215757369995117,0.011322123929858208,-0.006889677606523037,0.015560606494545937,-0.008460474200546741,0.11604935675859451,-0.9932073950767517,0.0068583060055971146,0.00237409770488739,0.015607357025146484,0.9707023149685359,-0.055527159270748985,-0.017692583786617817,0.2331110555662781,-0.11631143079647763,-0.008518130161550825,0.4708716423818016
1772660384612959488,0.13219451904296875,0.011668068356812,-0.009714492596685886,0.02364223636686802,-0.008454590104520321,0.11587043851613998,-0.9932283759117126,0.001893310807645321,0.008931197226047516,0.014041364192962646,0.97068617778237,-0.05543881719651175,-0.01767374129452941,0.23320052421873813,-0.1161312963306171,-0.008512026552208644,0.47105456644271393
1772660384622996224,0.14223146438598633,0.007408697623759508,-0.015551608055830002,0.02297751046717167,-0.008542202413082123,0.11574087291955948,-0.9932426810264587,0.0030337823554873466,0.011105440557003021,0.012880802154541016,0.970663402811416,-0.05536326888246558,-0.017707430839728727,0.2333108954304546,-0.1160008510991609,-0.0086001052733818,0.47127571029113674
1772660384633034496,0.15226960182189941,-3.750063478946686e-05,-0.02041454054415226,0.026929376646876335,-0.008719849400222301,0.11573921889066696,-0.9932413697242737,0.0060648238286376,0.005446091294288635,0.012879431247711182,0.970631501655317,-0.05533927369957574,-0.01780125156092045,0.2334423667521261,-0.11599918614562056,-0.00877895881808107,0.47153641309467625
1772660384643071488,0.162306547164917,-0.0037380519788712263,-0.019311726093292236,0.02713363990187645,-0.008873188868165016,0.11578602343797684,-0.9932345747947693,0.0067522162571549416,-0.0026573538780212402,0.008691728115081787,0.9705950124440909,-0.05534154770225081,-0.017889667167398943,0.23358629789025956,-0.11604630830785628,-0.008933391365072077,0.4718245900855354
1772660384653108480,0.17234349250793457,-0.005566844716668129,-0.02113199606537819,0.024815091863274574,-0.009007459506392479,0.1158430203795433,-0.9932267069816589,0.003331187181174755,-0.006696909666061401,0.0065934062004089355,0.9705605531977997,-0.055351175928107274,-0.017969474495963523,0.23372101926408695,-0.11610369551235707,-0.009068637464990726,0.47209503050327134
