time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1773062763883249920,0.023530960083007812,-0.16079606115818024,-0.18524321913719177,-0.019145406782627106,-0.13372860848903656,0.19912703335285187,-0.9708064198493958,-0.00303591787815094,0.006744548678398132,-0.009845435619354248,0.8417639619384121,-0.12075241803573451,-0.003956108794724366,-0.5261525519111029,-0.20046703465028004,-0.13688853866913775,-1.131072346302901
1773062763893285888,0.033566951751708984,-0.17775793373584747,-0.16438837349414825,-0.010232916101813316,-0.13542887568473816,0.200755313038826,-0.9702351689338684,0.01259562373161316,0.005009457468986511,-0.014612853527069092,0.8416284194592635,-0.12191957042764884,-0.004245065590443921,-0.5260982303772801,-0.20212886425196744,-0.1386874769559292,-1.1314229043023396
1773062763903321856,0.043602943420410156,-0.188944011926651,-0.15276527404785156,-0.027930952608585358,-0.13702675700187683,0.2025231420993805,-0.969643235206604,0.02794167399406433,0.006842717528343201,-0.001304030418395996,0.8414613738985063,-0.12312026502032904,-0.004446778062014442,-0.5260838918201921,-0.20393376785852124,-0.1403870714695843,-1.131878007434612
1773062763913358080,0.05363893508911133,-0.22926408052444458,-0.13976748287677765,0.005806283093988895,-0.1384814828634262,0.20451955497264862,-0.9690173268318176,0.0370715856552124,0.0020844191312789917,0.015251517295837402,0.8412892675704431,-0.12438181208348954,-0.004526661622815762,-0.5260617116468788,-0.20597286792830413,-0.141948057665034,-1.132331011434307
1773062763923394816,0.0636758804321289,-0.29125046730041504,-0.13626143336296082,0.06135023385286331,-0.1397245228290558,0.2071007788181305,-0.968290388584137,0.02847270667552948,-0.012535974383354187,0.03144657611846924,0.8412203434633515,-0.12583928162705005,-0.0043896129243703235,-0.5258264800347677,-0.20861055408039947,-0.14331098034764575,-1.1323355817163923
1773062763933430784,0.07371187210083008,-0.3283127546310425,-0.13905727863311768,0.05906249210238457,-0.14094164967536926,0.21021200716495514,-0.9674432277679443,0.014797240495681763,-0.028800249099731445,0.043386220932006836,0.8411780076474411,-0.127520501182608,-0.0041131799270346225,-0.5254912598016463,-0.21179180201336825,-0.144666933991323,-1.132183335756267
1773062763943467008,0.08374786376953125,-0.33675578236579895,-0.12553641200065613,0.07069305330514908,-0.14209026098251343,0.2135627567768097,-0.9665408730506897,0.0037541091442108154,-0.039536282420158386,0.04819071292877197,0.8411313923411807,-0.12928851507186806,-0.0037461664260678394,-0.5251364778518726,-0.21522041166190886,-0.14596354645302081,-1.132018334871837
1773062763953502976,0.09378385543823242,-0.30113711953163147,-0.09603141248226166,0.08775436878204346,-0.14299127459526062,0.2168012112379074,-0.9656866788864136,-0.00713995099067688,-0.043934375047683716,0.048526644706726074,0.8411386999210712,-0.13094152328338848,-0.0033148777704876844,-0.5247179427712033,-0.21853655087397952,-0.14700396600107277,-1.1316543678436652
1773062763963539712,0.10382080078125,-0.2439846247434616,-0.06794891506433487,0.06846456229686737,-0.14362794160842896,0.21957458555698395,-0.964965283870697,-0.009829699993133545,-0.029419541358947754,0.03857368230819702,0.8411734419213607,-0.13232146986024426,-0.002895215319350953,-0.524318478760184,-0.22137839007642796,-0.14775782125434936,-1.1312295011673617
1773062763973575936,0.11385679244995117,-0.17580105364322662,-0.04401002451777458,0.038143936544656754,-0.14406129717826843,0.22167348861694336,-0.9644206762313843,-0.0024230927228927612,-0.006616115570068359,0.012028098106384277,0.8411616634297415,-0.1333535824230416,-0.002547662882622161,-0.5240777803233808,-0.22353032935224326,-0.14827961343295998,-1.1310501239092874
1773062763983611904,0.12389278411865234,-0.15558724105358124,-0.007841968908905983,0.06310441344976425,-0.1442044973373413,0.22331316769123077,-0.9640209078788757,0.0017179399728775024,0.010863468050956726,0.008469760417938232,0.8411751772644821,-0.13410714464305262,-0.002197161018065754,-0.5238651140809305,-0.22521216091675847,-0.14848551465344376,-1.130821102065762
1773062763993647872,0.13392877578735352,-0.1528318077325821,0.017807401716709137,0.1037471815943718,-0.14394868910312653,0.22492828965187073,-0.963683545589447,0.005810871720314026,0.0050064027309417725,0.013366222381591797,0.8412981989817964,-0.13474159693917803,-0.0017071808783511663,-0.5235064607716404,-0.226869434783795,-0.14827707688714264,-1.130176316620158
1773062764003685120,0.1439659595489502,-0.1738353669643402,0.02998310886323452,0.1054643914103508,-0.14347928762435913,0.22663888335227966,-0.9633527398109436,0.004700601100921631,-0.003463834524154663,0.019367754459381104,0.8414661473904225,-0.13536022471072992,-0.0011118836008026352,-0.523078564508243,-0.22862538140961502,-0.14785060444027034,-1.1293469203814106
1773062764013721088,0.15400195121765137,-0.20424753427505493,0.04764868691563606,0.10450747609138489,-0.14284510910511017,0.2286359965801239,-0.962975025177002,0.0008315593004226685,-0.0197431743144989,0.03318071365356445,0.8416092177748259,-0.13606014818041534,-0.0003663451430698273,-0.5226676327591594,-0.23067633526605488,-0.147263437810623,-1.128575349142416
1773062764023757056,0.16403794288635254,-0.20526298880577087,0.051688969135284424,0.10758794844150543,-0.14214414358139038,0.23080046474933624,-0.9625623226165771,-0.002066671848297119,-0.03133757412433624,0.03334784507751465,0.8417387471522876,-0.13681608075943502,0.00045347822420162834,-0.5222615671656042,-0.23290027526736715,-0.1466130516624567,-1.1278307609100813
