time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1773064425726388480,0.04756951332092285,-0.13242068886756897,-0.11764029413461685,-0.03398142009973526,-0.3366200029850006,0.6365491151809692,0.6938964128494263,0.01638379693031311,-0.007093548774719238,-0.01718437671661377,-0.377996412287507,0.8969546852358264,0.20596234720261608,0.10084898875290231,-0.6900154749433081,-2.689923266290789,-2.525405322247047
1773064425736425728,0.05760669708251953,-0.08216257393360138,-0.13137954473495483,-0.00032146251760423183,-0.3358899652957916,0.6357215046882629,0.6950081586837769,0.02822697162628174,-0.010294198989868164,-0.03727799654006958,-0.3773723781450738,0.897194026489943,0.2062691297124527,0.10042945699426593,-0.6889428364257834,-2.691402799865113,-2.5257034835424825
1773064425746463488,0.06764459609985352,-0.053173668682575226,-0.12151399254798889,0.06790140271186829,-0.3347802460193634,0.6353844404220581,0.69585120677948,0.023516207933425903,-0.010598063468933105,-0.05446326732635498,-0.37696366762115524,0.8974202449246156,0.20630684049446538,0.0998639553044162,-0.6885062446721433,-2.693171789409622,-2.526508695090251
1773064425756501760,0.0776827335357666,-0.02997327595949173,-0.111298106610775,0.06134176626801491,-0.333530068397522,0.6353338956832886,0.6964974403381348,0.0021702051162719727,-0.006168246269226074,-0.054224491119384766,-0.3766962857716024,0.8976260990870042,0.20619436742369224,0.09925333797142777,-0.688440792776186,-2.694993424449595,-2.5275459486884255
1773064425766539520,0.08772063255310059,-0.00773463724181056,-0.11136095970869064,0.0014909518649801612,-0.3325512409210205,0.6353083848953247,0.6969885230064392,-0.027952909469604492,-0.010048985481262207,-0.041455626487731934,-0.3765111853065292,0.8977521479178199,0.2062409797030617,0.09871720468857897,-0.6884077826975986,-2.696411248944641,-2.5280478368847232
1773064425776577792,0.09775876998901367,0.010022787377238274,-0.11577542126178741,-0.0233645960688591,-0.33184412121772766,0.635262668132782,0.6973667740821838,-0.040867000818252563,-0.012551605701446533,-0.033701181411743164,-0.37638793100184864,0.8977916951869432,0.20652715091441345,0.09822738202015811,-0.6883485940031732,-2.6974485367732846,-2.527864736029862
1773064425786615552,0.10779666900634766,0.017446216195821762,-0.11745759844779968,-0.000651161652058363,-0.3311064839363098,0.6353254318237305,0.6976602077484131,-0.026437371969223022,-0.010279715061187744,-0.024518847465515137,-0.37632903766211334,0.897805453131109,0.2068223497911524,0.09770489480275724,-0.6884298323524117,-2.698474311302223,-2.5276102955689566
1773064425796653568,0.11783456802368164,0.0048428066074848175,-0.10398440062999725,0.029222847893834114,-0.3302328288555145,0.6354560256004333,0.6979552507400513,-0.0055214762687683105,-0.0087319016456604,-0.01272892951965332,-0.3762731423862948,0.8978533221335762,0.20697109172148567,0.09716370642240414,-0.6885989777809198,-2.699660315636881,-2.5277201734886234
1773064425806691584,0.12787270545959473,-0.030645234510302544,-0.07697729021310806,0.03376460075378418,-0.3293786942958832,0.6354855298995972,0.6983324885368347,-0.005078732967376709,-0.014239132404327393,-0.003691256046295166,-0.37614173721738353,0.8979554544004338,0.2069836783504676,0.09670206988312545,-0.6886372148745565,-2.700869229295459,-2.528186310524836
1773064425816729600,0.1379106044769287,-0.06811670958995819,-0.05844435095787048,0.03317897394299507,-0.3286972641944885,0.6352562308311462,0.6988617181777954,-0.019020020961761475,-0.023516058921813965,0.00719296932220459,-0.37587101520840605,0.8981122180268937,0.20694276529562278,0.09638533669892525,-0.6883402184334702,-2.701959592702893,-2.5288315049827497
1773064425826767616,0.1479487419128418,-0.10444959253072739,-0.07181315124034882,0.04201853647828102,-0.3280234932899475,0.6347607970237732,0.6996281147003174,-0.022119969129562378,-0.029444575309753418,0.009188473224639893,-0.37542782808306646,0.8983460933841595,0.20685346597563983,0.09612465234309989,-0.6876989337441064,-2.7031707568079657,-2.5297472878179974
1773064425836805632,0.15798664093017578,-0.11289448291063309,-0.08723311871290207,0.05054305121302605,-0.3271859884262085,0.6341108083724976,0.7006092071533203,-0.004173964262008667,-0.028458774089813232,0.005994975566864014,-0.37485582490475794,0.8986449180752814,0.20674120802809232,0.0958051955277041,-0.686858014449283,-2.7046900659157194,-2.530906642975576
1773064425846843648,0.16802477836608887,-0.05360173061490059,-0.10938329994678497,0.055248189717531204,-0.32616281509399414,0.6336660981178284,0.70148766040802,0.012915164232254028,-0.020140767097473145,-0.004985034465789795,-0.3743829050787651,0.8989135504380812,0.20663554242087098,0.09536022387043724,-0.6862830510885163,-2.7063688868354685,-2.532028755638037
