time,seconds_elapsed,x,y,z
1773063091526366208,0.0007421970367431641,-0.318817138671875,-0.6522216796875,-0.730133056640625
1773063091536403456,0.010779380798339844,-0.2094268798828125,-0.4050750732421875,-0.7501068115234375
1773063091546439424,0.020815372467041016,-0.1567535400390625,-0.60418701171875,-0.756195068359375
1773063091556475392,0.030851364135742188,-0.2491607666015625,-0.5968170166015625,-0.8008575439453125
1773063091566511360,0.04088735580444336,-0.3065643310546875,-0.516143798828125,-0.8377838134765625
1773063091576548352,0.05092430114746094,-0.2570037841796875,-0.58135986328125,-0.8147125244140625
1773063091586584320,0.06096029281616211,-0.2245941162109375,-0.5648956298828125,-0.8005218505859375
1773063091596620288,0.07099628448486328,-0.2390289306640625,-0.5379486083984375,-0.796234130859375
1773063091606657280,0.08103322982788086,-0.2584686279296875,-0.56396484375,-0.77655029296875
1773063091616693248,0.09106922149658203,-0.252532958984375,-0.5611114501953125,-0.776397705078125
1773063091626729216,0.1011052131652832,-0.2270050048828125,-0.5469207763671875,-0.7677764892578125
1773063091636765184,0.11114120483398438,-0.2162933349609375,-0.5548095703125,-0.7707366943359375
1773063091646802432,0.12117838859558105,-0.22479248046875,-0.5550537109375,-0.7885284423828125
1773063091656838400,0.13121438026428223,-0.22698974609375,-0.55352783203125,-0.79925537109375
1773063091666874368,0.1412503719329834,-0.2362060546875,-0.5648193359375,-0.8095550537109375
1773063091676910336,0.15128636360168457,-0.2331695556640625,-0.558380126953125,-0.8169097900390625
1773063091686947328,0.16132330894470215,-0.21063232421875,-0.559478759765625,-0.7879180908203125
1773063091696983296,0.17135930061340332,-0.224639892578125,-0.579071044921875,-0.779205322265625
1773063091707019264,0.1813952922821045,-0.234405517578125,-0.5805816650390625,-0.792877197265625
1773063091717055232,0.19143128395080566,-0.210357666015625,-0.5661468505859375,-0.79888916015625
1773063091727092224,0.20146822929382324,-0.210723876953125,-0.5537261962890625,-0.813995361328125
1773063091737128192,0.21150422096252441,-0.2280426025390625,-0.5633544921875,-0.822296142578125
1773063091747164160,0.22154021263122559,-0.2286376953125,-0.5595550537109375,-0.818817138671875
1773063091757201408,0.23157739639282227,-0.2227630615234375,-0.5538330078125,-0.8040771484375
1773063091767237376,0.24161338806152344,-0.226104736328125,-0.554107666015625,-0.79669189453125
1773063091777273344,0.2516493797302246,-0.22381591796875,-0.5509033203125,-0.791778564453125
1773063091787309312,0.2616853713989258,-0.2230072021484375,-0.55413818359375,-0.7772216796875
1773063091797346304,0.27172231674194336,-0.236419677734375,-0.5601043701171875,-0.784149169921875
1773063091807382272,0.28175830841064453,-0.2408294677734375,-0.556182861328125,-0.7935791015625
1773063091817418240,0.2917943000793457,-0.23577880859375,-0.556304931640625,-0.8085479736328125
1773063091827454208,0.3018302917480469,-0.2357177734375,-0.555267333984375,-0.81103515625
1773063091837491200,0.31186723709106445,-0.2339630126953125,-0.555084228515625,-0.8076324462890625
1773063091847527168,0.3219032287597656,-0.230133056640625,-0.5502777099609375,-0.7996063232421875
1773063091857563136,0.3319392204284668,-0.23101806640625,-0.556427001953125,-0.7873687744140625
1773063091867599360,0.34197521209716797,-0.2318572998046875,-0.56719970703125,-0.783355712890625
1773063091877636352,0.35201239585876465,-0.222869873046875,-0.5648956298828125,-0.7877044677734375
1773063091887672320,0.3620483875274658,-0.2194976806640625,-0.5609283447265625,-0.805511474609375
1773063091897708288,0.372084379196167,-0.2287139892578125,-0.5626220703125,-0.8134765625
1773063091907744512,0.38212037086486816,-0.226776123046875,-0.5604705810546875,-0.80413818359375
1773063091917781248,0.39215731620788574,-0.2220458984375,-0.55047607421875,-0.78948974609375
1773063091927817472,0.4021933078765869,-0.22491455078125,-0.552642822265625,-0.77789306640625
1773063091937853440,0.4122292995452881,-0.2274017333984375,-0.553680419921875,-0.77276611328125
1773063091947890176,0.42226624488830566,-0.2256317138671875,-0.555816650390625,-0.7783660888671875
1773063091957926400,0.43230223655700684,-0.2261962890625,-0.55828857421875,-0.7791595458984375
1773063091967962368,0.442338228225708,-0.219268798828125,-0.5596771240234375,-0.7664947509765625
1773063091977998336,0.4523742198944092,-0.2146453857421875,-0.5695953369140625,-0.7561492919921875
1773063091988035328,0.46241140365600586,-0.2192840576171875,-0.57275390625,-0.7758941650390625
1773063091998071552,0.47244739532470703,-0.215301513671875,-0.5656280517578125,-0.785400390625
1773063092008107520,0.4824833869934082,-0.202880859375,-0.575164794921875,-0.7747802734375
1773063092018143488,0.4925193786621094,-0.195098876953125,-0.5731964111328125,-0.786041259765625
1773063092028180480,0.502556324005127,-0.1961212158203125,-0.560760498046875,-0.805694580078125
1773063092038216448,0.5125923156738281,-0.1830596923828125,-0.5666961669921875,-0.80078125
1773063092048252416,0.5226283073425293,-0.155029296875,-0.570220947265625,-0.776092529296875
1773063092058288384,0.5326642990112305,-0.1236114501953125,-0.5528106689453125,-0.76568603515625
1773063092068325376,0.542701244354248,-0.1058349609375,-0.554901123046875,-0.7513580322265625
1773063092078361344,0.5527372360229492,-0.103515625,-0.5660400390625,-0.75653076171875
