x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,parent,child,participant,set,ID,dataset
-0.0280497955451616,0.009429872395142,-0.0311332475017903,2.466466176561551,-10.806999885338534,7.747272453472553,5,5,17,1,34,ourdata
-0.0629658132042393,-0.0025324425393461,0.0352163290584476,1.4415448716375532,1.1927740689413326,13.21343757416385,5,5,17,1,34,ourdata
-0.1157242318043601,-0.0422612488847513,0.0231575330830021,1.5125934359459765,2.304168660570441,19.47510576604201,5,5,17,1,34,ourdata
-0.1066338818515916,-0.0390189170153915,0.0188445817241037,-0.9235966976241824,9.96888446276711,-0.4434568864328829,5,5,17,1,34,ourdata
-0.0260126079565881,0.0076047453149281,0.0549652452540664,-7.083092560687701,9.857321738887777,7.596453604709072,5,5,17,1,34,ourdata
-0.0701473346904067,0.0038781801461799,0.0541216767277599,-6.269806793883499,21.42573701039916,2.360910644247639,5,5,17,1,34,ourdata
-0.2529027530559163,-0.0095960349778186,0.1400489909152691,-1.949270758685187,6.116336536348714,-11.547160254100548,5,5,17,1,34,ourdata
-0.2713327627579676,-0.0230803557690155,0.0619331201807289,-0.4283119837503545,-12.251853792387404,-26.98562592739309,5,5,17,1,34,ourdata
-0.1411246733001527,-0.0032049745637153,0.0259164260743518,-7.089660398597194,-5.393859252591197,-20.12580489068401,5,5,17,1,34,ourdata
-0.0456546300152805,0.0133648604206105,-0.0108138446607302,-9.261529924576546,13.286126063133665,-3.9127806019448186,5,5,17,1,34,ourdata
0.0818389688969168,0.0453690830647352,-0.0073074344673126,-4.277380247163232,39.08407984862277,11.211029809738903,5,5,17,1,34,ourdata
0.1335612055965047,0.0280302864685312,-0.0170258304184922,-9.629823940463805,36.71955837483222,30.253224127424605,5,5,17,1,34,ourdata
0.1601276791530323,-0.0163302794190923,-0.0491430707302397,-2.537856112387778,35.37354742930442,27.68843111864648,5,5,17,1,34,ourdata
0.2111886299895228,-0.0751007669390923,-0.0072729550638659,-14.2680171582938,23.5673756742242,27.30808830544473,5,5,17,1,34,ourdata
0.1127796733420231,-0.0695791988324485,-0.00256344604519,-6.971670682739411,11.99038272503489,19.83007521152108,5,5,17,1,34,ourdata
-0.0081354518453062,-0.0234335769027426,0.0018469204993482,-6.314316036883463,16.895384459105667,26.588440467643924,5,5,17,1,34,ourdata
0.0345249764450985,-0.0157276020420785,-0.0049025380178542,34.85706728622524,28.44156692553468,11.633155992965644,5,5,17,1,34,ourdata
0.1501918341649794,0.0286135780994761,0.0887824901345104,21.83244709832456,-11.476918796251432,-11.17509064852804,5,5,17,1,34,ourdata
0.1831824646275562,0.0021996084222495,-0.0271667333832197,4.150944672272699,-39.61893596189655,-36.69148866748372,5,5,17,1,34,ourdata
